molecule_chembl_id,canonical_smiles,standard_value
CHEMBL5404289,COc1cccc(-n2[nH]c(=O)c3cnc(Nc4cc(C)nc(C)n4)cc32)c1F,90000.0
CHEMBL319556,O=C1NCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,10000.0
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,5.0
CHEMBL131577,Cc1cccc(Cl)c1NC(=O)c1cnc(NC(=O)C2CC2)s1,44.0
CHEMBL104409,O=C1Nc2ccc(NC(=O)c3ccccc3)cc2/C1=C/c1ccc[nH]1,870.0
CHEMBL107225,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1ccc[nH]1,213.0
CHEMBL86755,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,900.0
CHEMBL421213,CN(C)C(=O)c1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2,210.0
CHEMBL106961,O=C1Nc2ccc(C(=O)c3cccs3)cc2/C1=C/C(=O)c1ccc[nH]1,260.0
CHEMBL107273,O=C1Nc2ccc(C(=O)c3cccs3)cc2/C1=C/c1ccc(F)cc1,4900.0
CHEMBL320646,O=C1Nc2ncc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1,350.0
CHEMBL87325,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C/c1ccc[nH]1,710.0
CHEMBL104062,CC(=O)Nc1ccc(/C=C2\C(=O)Nc3ccc(C(=O)c4cccs4)cc32)cc1,700.0
CHEMBL106944,O=C1Nc2ccc(C(=O)c3cccnc3)cc2/C1=C/c1ccc[nH]1,168.0
CHEMBL321855,O=C1Nc2ccc(C(=O)c3cccs3)cc2/C1=C/c1ccccc1,2300.0
CHEMBL104640,CS(=O)(=O)c1ccc(/C=C2\C(=O)Nc3ccc(C(=O)c4cccs4)cc32)cc1,7100.0
CHEMBL107166,O=C1Nc2ccc(C(O)c3cccs3)cc2/C1=C/c1ccc[nH]1,190.0
CHEMBL104963,O=C1Nc2ccc(C(=O)c3cccs3)cc2/C1=C/c1ccc[nH]1,26.0
CHEMBL318390,O=C1Nc2ccc(-c3cccnc3)nc2/C1=C/c1ccc[nH]1,235.0
CHEMBL323994,O=C1Nc2ccc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1,27.0
CHEMBL106571,O=C1Nc2cnc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1,30.0
CHEMBL105255,CN(C)c1ccc(/C=C2\C(=O)Nc3ccc(C(=O)c4cccs4)cc32)cc1,200.0
CHEMBL544174,Cl.O/N=C(/CCN1CCOCC1)c1ccc2ccccc2c1,1000000000000.0
CHEMBL543228,Cl.O=C(CCN1CCOCC1)c1ccc2ccc3ccccc3c2c1,1995262314968882.8
CHEMBL542762,COc1cc2ccc(C(=O)CCN3CCOCC3)cc2cc1OC.Cl,5011872336272.71
CHEMBL543939,Cl.O=C(CCN1CCOCC1)c1ccc2ccccc2c1,501187233627271.44
CHEMBL544872,Cl.O=C(CCN1CCCCCC1)c1ccc2ccccc2c1,1258925411794166.2
CHEMBL56543,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,79432823472428.22
CHEMBL542023,Cl.O=c1c(CN2CCOCC2)coc2cc3ccccc3cc12,1000000000000.0
CHEMBL540593,Cl.O=C(CCNCc1ccccc1)c1ccc2ccccc2c1,1000000000000.0
CHEMBL541346,CN(C)CCC(=O)c1ccc2ccccc2c1.Cl,1584893192461111.0
CHEMBL154693,C=CC(O)c1ccc2ccccc2c1,1995262314968.88
CHEMBL543226,C/C(=C\c1ccccc1)C(=O)CCN1CCOCC1.Cl,79432823472428.22
CHEMBL538798,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1.Cl,12589254117941714
CHEMBL225385,Cl.O=C(/C=C/c1ccccc1Cl)CCN1CCOCC1,79432823472428.22
CHEMBL541100,CC(C)(CN1CCOCC1)C(=O)c1ccc2ccccc2c1.Cl,1000000000000.0
CHEMBL154580,C=CC(=O)c1ccc2ccccc2c1,12589254117941714
CHEMBL542522,COc1ccc2cc(C(=O)CCN3CCOCC3)ccc2c1.Cl,63095734448019.43
CHEMBL552585,Cl.O=C(CCN1CCOCC1)c1cccc2ccccc12,316227766016837.94
CHEMBL154877,O=C(CCCN1CCOCC1)c1ccc2ccccc2c1,1000000000000.0
CHEMBL104466,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,50000.0
CHEMBL364623,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,6.0
CHEMBL383172,Cc1ccc(C(=O)Nc2ccon2)cc1Nc1ncnc(NC2CCCC2)c1C#N,50000.0
CHEMBL197603,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C,25000.0
CHEMBL201307,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,25000.0
CHEMBL377300,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,50000.0
CHEMBL377734,O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F,50000.0
CHEMBL386760,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,1200.0
CHEMBL212964,CNc1ncc2cc(-c3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3C)ccc2n1,16.0
CHEMBL212181,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(NC3CC3)ncc2c1,331.0
CHEMBL215863,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(Nc3ccccc3)ncc2c1,46.0
CHEMBL215691,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(NC3CCN(C)CC3)ncc2c1,8333.0
CHEMBL214556,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(NCCN3CCCC3)ncc2c1,8333.0
CHEMBL384942,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(NCCN3CCCCC3)ncc2c1,25000.0
CHEMBL212195,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(N(C)CCCN3CCOCC3)ncc2c1,25000.0
CHEMBL214530,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(NCCCN3CCOCC3)ncc2c1,2189.0
CHEMBL213290,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,626.0
CHEMBL215943,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,72.0
CHEMBL215813,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(N)ncc2c1,557.0
CHEMBL385937,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(N)ncc2c1,20.0
CHEMBL215952,Cc1ccccc1-c1ccc2nc(N)ncc2c1,9819.0
CHEMBL213478,CNc1ncc2cc(-c3cc(Nc4nc5cc(C(F)(F)F)ccc5[nH]4)ccc3C)ccc2n1,25000.0
CHEMBL424719,CNc1ncc2cc(-c3cc(NC(=O)Nc4cccc(C(F)(F)F)c4)ccc3C)ccc2n1,1141.0
CHEMBL212128,CNc1ncc2cc(-c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)ccc2n1,154.0
CHEMBL385055,CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4N4CC(C)(C)C4=O)ccc3C)ccc2n1,193.0
CHEMBL212953,CCN(CC)CC(=O)Nc1ccc(C(F)(F)F)cc1NC(=O)c1ccc(C)c(-c2ccc3nc(NC)ncc3c2)c1,8333.0
CHEMBL213831,CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4NC(=O)NCCN4CCOCC4)ccc3C)ccc2n1,722.0
CHEMBL385598,CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4N4CCN(C)C4=O)ccc3C)ccc2n1,987.0
CHEMBL214495,CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4N4CCCCC4)ccc3C)ccc2n1,253.0
CHEMBL386661,CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4OC4CCN(C)CC4)ccc3C)ccc2n1,868.0
CHEMBL212183,CNc1ncc2cc(-c3cc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4C)ccc3C)ccc2n1,106.0
CHEMBL215019,CNc1ncc2cc(-c3cc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)ccc2n1,16.0
CHEMBL427226,CNc1ncc2cc(-c3cc(C(=O)Nc4ccc(OC5CCN(C)CC5)cc4)ccc3C)ccc2n1,8333.0
CHEMBL427233,CNc1ncc2cc(-c3cc(C(=O)Nc4cccc5c4CCC5)ccc3C)ccc2n1,1339.0
CHEMBL215969,CNc1ncc2cc(-c3cc(C(=O)Nc4cccc(C(F)(F)F)c4C)ccc3C)ccc2n1,133.0
CHEMBL557844,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1.Cl,51.0
CHEMBL221378,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccc(F)cc1,83.0
CHEMBL375205,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1,31.0
CHEMBL220484,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1,165.0
CHEMBL220969,C[C@H](Nc1cc(-c2cccc(C#N)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,167.0
CHEMBL374321,C[C@H](Nc1cc(-c2ccc(C#N)cc2)nc(-n2cnc3ccncc32)n1)c1ccccc1,42.0
CHEMBL221376,C[C@H](Nc1cc(-c2cnn(C)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,245.0
CHEMBL220483,COc1ccc(-c2cc(N[C@@H](C)c3ccccc3)nc(-n3cnc4ccncc43)n2)cc1OC,49.0
CHEMBL373523,C[C@H](Nc1cc(-c2cccc(N(C)C)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,470.0
CHEMBL384820,C[C@H](Nc1cc(-c2ccc(N(C)C)cc2)nc(-n2cnc3ccncc32)n1)c1ccccc1,62.0
CHEMBL222027,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccccc1,60.0
CHEMBL221037,C[C@H](Nc1cc(N2CC[C@@H](O)C2)nc(-n2cnc3ccncc32)n1)c1ccccc1,180.0
CHEMBL376885,CN1CCN(c2cc(Nc3ccccc3Cl)nc(-n3cnc4ccncc43)n2)CC1,131.0
CHEMBL385114,CN1CCN(c2cc(Oc3c(F)cccc3F)nc(-n3cnc4ccncc43)n2)CC1,120.0
CHEMBL218439,CN1CCN(c2cc(Oc3ccccc3Cl)nc(-n3cnc4ccncc43)n2)CC1,27.0
CHEMBL375296,C[C@H](Nc1cc(N2CCN(C)CC2)nc(-n2cnc3ccncc32)n1)c1ccccc1,61.0
CHEMBL218579,C[C@H](Nc1cc(N(C)C)nc(-n2cnc3ccncc32)n1)c1ccccc1,19.0
CHEMBL221912,COC[C@H](C)Nc1ccnc(-n2cnc3ccc(C#N)cc32)n1,45.0
CHEMBL217937,Cc1nc2ccncc2n1-c1nccc(N[C@@H](C)c2ccccc2)n1,10000.0
CHEMBL222028,C[C@H](Nc1ccnc(-n2ccc3ccncc32)n1)c1ccccc1,10000.0
CHEMBL375076,C[C@@H](Nc1nccc(-n2cnc3ccncc32)n1)c1ccccc1,145.0
CHEMBL220585,C[C@H](Nc1ccnc(-n2cnc3cnccc32)n1)c1ccccc1,700.0
CHEMBL221038,c1ccc2c(c1)CCC[C@@H]2Nc1ccnc(-n2cnc3ccncc32)n1,9097.0
CHEMBL218602,C[C@@H](c1ccccc1)N(C)c1ccnc(-n2cnc3ccncc32)n1,860.0
CHEMBL218746,C[C@H](Nc1ccnc(-n2cnc3ccncc32)n1)c1ccc(Cl)cc1,1928.0
CHEMBL221976,C[C@H](Nc1ccnc(-n2cnc3ccncc32)n1)c1ccc(F)cc1,92.0
CHEMBL221029,C[C@H](Nc1ccnc(-n2cnc3ccncc32)n1)c1ccccc1,21.0
CHEMBL374854,c1ccc(CNc2ccnc(-n3cnc4ccncc43)n2)cc1,10000.0
CHEMBL373882,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,25000.0
CHEMBL386637,CN(C)[C@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(C#Cc3cnc(N)nc3)ccc2F)C1,1700.0
